Course_Title,Degree_Level,Degree_Type,Attendance_Mode,Start Date,Course_Link
ACCOUNTING,Undergraduate level,BSc (Hons),"Full-time, Part-time, On campus, With or without Foundation Year",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Faccounting&auth=7SEKyeE451h3uZQecqrd3A&profile=_default&rank=1&query=_
ARCHAEOLOGY,Undergraduate level,BA (Hons),"Full-time, Part-time, On campus, With or without Foundation Year",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Farchaeology&auth=3gHYeZT7eJw6c1S8dlefnQ&profile=_default&rank=2&query=_
BIOMEDICINE,Undergraduate level,BSc (Hons),"Full-time, Part-time, On campus, With or without Foundation Year",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Fbiomedicine&auth=2AeW36sU2NI5%2F6vGqgVL%2Bg&profile=_default&rank=3&query=_
BUSINESS,Undergraduate level,BSc (Hons),"Full-time, Part-time, On campus, With or without Foundation Year",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Fbusiness&auth=hN74MhNU6K6wZh3r7tV3ig&profile=_default&rank=4&query=_
CLASSICS,Undergraduate level,BA (Hons),"Full-time, Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Fclassics&auth=T8flQmPzfJRd4EUNR8%2FtPw&profile=_default&rank=5&query=_
COMPUTING,Undergraduate level,BSc (Hons),"Full-time, Part-time, On campus, With or without Foundation Year",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Fcomputing&auth=BU%2B5SA%2BqDYGlwaJIecC%2F0w&profile=_default&rank=6&query=_
ECONOMICS,Undergraduate level,BSc (Hons),"Full-time, Part-time, On campus, With or without Foundation Year",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Feconomics&auth=wy5TD%2BOVW8rnJbsuHC8ubg&profile=_default&rank=7&query=_
ENGLISH,Undergraduate level,BA (Hons),"Full-time, Part-time, On campus, With or without Foundation Year",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Fenglish&auth=TmhKSb39rI4h1h9K8a25Uw&profile=_default&rank=8&query=_
CLASSICS,Postgraduate level,MA,"Full-time, Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Fclassics&auth=%2FDUbBSl0xgOEZ51RslE%2BnA&profile=_default&rank=9&query=_
CRIMINOLOGY,Postgraduate level,MSc,"Full-time, Part-time, On campus, Flexible learning, Online",January 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Fcriminology&auth=fMjXPsxcy44EbbftE1WAlA&profile=_default&rank=10&query=_
