Course_Title,Degree_Level,Attendance_Mode,Course_Link
Accountancy BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/accountancy-bsc
Accounting and Business Intelligence MSc (Brunel Business School),Postgraduate,1 year full-time; 2 years full-time ; 16 months full-time ; 15 months full-time; 27 months full-time ; 19 months full-time,https://www.brunel.ac.uk/study/postgraduate/accounting-and-business-intelligence-msc
Accounting and Business Management BSc (Brunel Business School),Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/accounting-and-business-management-bsc
Accounting and Business Management MSc (Brunel Business School),Postgraduate,1 year full-time; 2 years full-time ; 16 months full-time ; 15 months full-time; 27 months full-time ; 19 months full-time,https://www.brunel.ac.uk/study/postgraduate/accounting-and-business-management-msc
"Advanced Clinical Practice (Cardiovascular Health) PgCert, PgDip and MSc",Postgraduate,3 years part-time; 3 years part-time; 1 year (staged study) part-time,https://www.brunel.ac.uk/study/postgraduate/advanced-clinical-practice-cardiovascular-health-pgcert-pgdip-and-msc
"Advanced Clinical Practice (Critical Care) PgCert, PgDip and MSc",Postgraduate,3 years part-time; 1 year (staged study) part-time,https://www.brunel.ac.uk/study/postgraduate/advanced-clinical-practice-critical-care-pgcert-pgdip-and-msc
"Advanced Clinical Practice (Musculoskeletal Rehabilitation) PgCert, PgDip and MSc",Postgraduate,3 years part-time; 1 year (staged study) part-time,https://www.brunel.ac.uk/study/postgraduate/advanced-clinical-practice-musculoskeletal-rehabilitation-pgcert-pgdip-and-msc
"Advanced Clinical Practice (Neurological Rehabilitation) PgCert, PgDip and MSc",Postgraduate,3 years part-time; 1 year (staged study) part-time,https://www.brunel.ac.uk/study/postgraduate/advanced-clinical-practice-neurological-rehabilitation-pgcert-pgdip-and-msc
"Advanced Clinical Practice (Pelvic Health) PgCert, PgDip and MSc",Postgraduate,3 years part-time; 1 year (staged study) part-time,https://www.brunel.ac.uk/study/postgraduate/advanced-clinical-practice-pelvic-health-pgcert-pgdip-and-msc
Advanced Clinical Practice CPD,CPD,,https://www.brunel.ac.uk/study/postgraduate/advanced-clinical-practice-cpd
"Advanced Clinical Practice PgCert, PgDip and MSc",Postgraduate,3 years part-time; 1 year (staged study) part-time,https://www.brunel.ac.uk/study/postgraduate/advanced-clinical-practice-pgcert-pgdip-and-msc
Advanced Electronic and Electrical Engineering MSc,Postgraduate,1 year full-time; 14 months full-time,https://www.brunel.ac.uk/study/postgraduate/advanced-electronic-and-electrical-engineering-msc
Advanced Engineering Design MSc,Postgraduate,1 year full-time; 2 years part-time,https://www.brunel.ac.uk/study/postgraduate/advanced-engineering-design-msc
Advanced Manufacturing and Enterprise Engineering Integrated PhD,PhD & Research,4 years full-time,https://www.brunel.ac.uk/study/postgraduate/advanced-manufacturing-and-enterprise-engineering-integrated-phd
Advanced Manufacturing Systems MSc,Postgraduate,1 year full-time,https://www.brunel.ac.uk/study/postgraduate/advanced-manufacturing-systems-msc
Advanced Mechanical Engineering MSc,Postgraduate,1 year full-time,https://www.brunel.ac.uk/study/postgraduate/advanced-mechanical-engineering-msc
Advanced Powertrain and Fuels PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/advanced-powertrain-and-fuels-phd
"Advanced Professional Practice (APP) PgCert, PgDip and MSc",Postgraduate,1 year full-time,https://www.brunel.ac.uk/study/postgraduate/advanced-professional-practice-app-pgcert-pgdip-and-msc
"Advanced Professional Practice (Cardiovascular Health) PgCert, PgDip and MSc",Postgraduate,1 Year full-time,https://www.brunel.ac.uk/study/postgraduate/advanced-professional-practice-cardiovascular-health-pgcert-pgdip-and-msc
"Advanced Professional Practice (Critical Care) PgCert, PgDip and MSc",Postgraduate,1 Year full-time,https://www.brunel.ac.uk/study/postgraduate/advanced-professional-practice-critical-care-pgcert-pgdip-and-msc
"Advanced Professional Practice (Musculoskeletal Rehabilitation) PgCert, PgDip and MSc",Postgraduate,1 Year full-time,https://www.brunel.ac.uk/study/postgraduate/advanced-professional-practice-musculoskeletal-rehabilitation-pgcert-pgdip-and-msc
"Advanced Professional Practice (Neurological Rehabilitation) PgCert, PgDip and MSc",Postgraduate,1 Year full-time,https://www.brunel.ac.uk/study/postgraduate/advanced-professional-practice-neurological-rehabilitation-pgcert-pgdip-and-msc
"Advanced Professional Practice (Pelvic Health) PgCert, PgDip and MSc",Postgraduate,1 year full-time,https://www.brunel.ac.uk/study/postgraduate/advanced-professional-practice-pelvic-health-pgcert-pgdip-and-msc
Aerospace Engineering BEng,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/aerospace-engineering-beng
Aerospace Engineering MEng,Undergraduate,4 years full-time; 5 years full-time,https://www.brunel.ac.uk/study/undergraduate/aerospace-engineering-meng
Aerospace Engineering MSc,Postgraduate,1 year full-time; 24 months full-time,https://www.brunel.ac.uk/study/postgraduate/aerospace-engineering-msc
Ageing Studies PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/ageing-studies-phd
Anthropology and Sociology BSc,Undergraduate,3 years full-time; 4 years full-time ; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/anthropology-and-sociology-bsc
Anthropology BSc,Undergraduate,3 years full-time; 4 years full-time ; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/anthropology-bsc
"Anthropology of Childhood, Youth and Education MSc",Postgraduate,1 year full-time; 2 or 2.5 years part-time,https://www.brunel.ac.uk/study/postgraduate/anthropology-of-childhood-youth-and-education-msc
Anthropology of International Development and Humanitarian Assistance MSc,Postgraduate,1 year full-time; 2 or 2.5 years part-time,https://www.brunel.ac.uk/study/postgraduate/anthropology-of-international-development-and-humanitarian-assistance-msc
Anthropology PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/phd-anthropology
Art Psychotherapy MA,Postgraduate,2 years full-time,https://www.brunel.ac.uk/study/postgraduate/art-psychotherapy-ma
Artificial Intelligence MSc,Postgraduate,1 year full-time; 2 years part-time; 1 year (staged study) part-time,https://www.brunel.ac.uk/study/postgraduate/artificial-intelligence-msc
Artificial Intelligence Strategy MSc (Brunel Business School),Postgraduate,1 year full-time; 16 months full-time ; 2 years full-time ; 15 months full-time; 19 months full-time ; 27 months full-time,https://www.brunel.ac.uk/study/postgraduate/artificial-intelligence-strategy-msc
Automotive and Motorsport Engineering MSc,Postgraduate,1 year full-time,https://www.brunel.ac.uk/study/postgraduate/automotive-and-motorsport-engineering-msc
