Course_Title,Degree_Type,Attendance_Mode,Start_Date,Course_Link
Accounting MSc,MSc,"Full-time - MSc, Part-time - MSc","Feb 2024, Oct 2024, Feb 2025",https://www1.chester.ac.uk/study/postgraduate/accounting
Accounting and Finance BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Full-time with Foundation Year - BSc (Hons), Full-time with Placement Year - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/accounting-and-finance
Acting BA (Hons),BA (Hons),"Full-time - BA (Hons), Full-time with Foundation Year - BA (Hons)",Sep 2024,https://www1.chester.ac.uk/study/undergraduate/acting
"Adult Nursing (Birkenhead) BN (Hons), BN",BN,"Full-time - BN (Hons), Full-time with Foundation Year - BN (Hons), Part-time - BN","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/adult-nursing-birkenhead
Adult Nursing (Chester) BN (Hons),BN (Hons),"Full-time - BN (Hons), Full-time with Foundation Year - BN (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/adult-nursing-chester
Adult Nursing (Shrewsbury) BN (Hons),BN (Hons),Full-time - BN (Hons),"Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/adult-nursing-shrewsbury
Adult Nursing (Warrington) BN (Hons),BN (Hons),"Full-time - BN (Hons), Full-time with Foundation Year - BN (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/adult-nursing-warrington
Advanced Clinical Practice MSc,MSc,Part-time - MSc,"Mar 2024, Sep 2024, Mar 2025",https://www1.chester.ac.uk/study/postgraduate/advanced-clinical-practice
Advanced Computer Science MSc,MSc,"Full-time - MSc, Part-time - MSc","Feb 2024, Oct 2024, Feb 2025",https://www1.chester.ac.uk/study/postgraduate/advanced-computer-science
Animal Behaviour (Combined) BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/animal-behaviour-combined
Animal Behaviour MSc,MSc,"Full-time - MSc, Part-time - MSc",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/animal-behaviour
Animal Behaviour BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Full-time with Foundation Year - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/animal-behaviour
Animal Behaviour and Biology,BSc (Hons),"Full-time - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/animal-behaviour-and-biology
Animal Behaviour and Psychology,BSc (Hons),"Full-time - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/animal-behaviour-and-psychology
Animal Behaviour and Welfare BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Full-time with Foundation Year - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/animal-behaviour-and-welfare
Animal Welfare MSc,MSc,"Full-time - MSc, Part-time - MSc",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/animal-welfare
Applied Mental Health Practice PGCert,PGCert,Part-time - PGCert,"Jan 2024, Jan 2025",https://www1.chester.ac.uk/study/postgraduate/applied-mental-health-practice
Applied Psychology MSc,MSc,"Full-time - MSc, Part-time - MSc",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/applied-psychology
Applied Science MRes,MRes,"Full-time - MRes, Part-time - MRes",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/applied-science
Archaeology (Combined) BA (Hons),BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/archaeology-combined
Archaeology BA (Hons),BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons), Full-time with Foundation Year - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/archaeology
Archaeology (MRes) MRes,MRes,"Full-time - MRes, Part-time - MRes",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/archaeology-mres
Archaeology and Heritage Practice MA,MA,"Full-time - MA, Part-time - MA",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/archaeology-and-heritage-practice
