Course_Title,Degree_Level,Course_Domain,Start_Date,End_Date,Course_Link
MSc Economics,POSTGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-economics
BSc (Hons) Economics,POSTGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-economics
MSc Business Management,POSTGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-business-management
MBBS Medicine,POSTGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/mbbs-medicine
MSc Computing Science,POSTGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-computing-science
BSc (Hons) Business Economics,POSTGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-business-economics
BSc (Hons) Adult Nursing,POSTGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-adult-nursing
PPL Level 4 and 5 language module selections,POSTGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ppl-level-4-and-5-language-module-selections
BSc (Hons) Paramedic Science,POSTGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-paramedic-science
MSci Social Psychology,POSTGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/msci-social-psychology
MSci Pharmacology and Drug Discovery,POSTGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/msci-pharmacology-and-drug-discovery
MSci Marine Sciences with a Year Abroad,POSTGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/msci-marine-sciences-with-a-year-abroad
MSci Marine Sciences,UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/msci-marine-sciences
MSci Geophysics with a Year Abroad,UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/msci-geophysics-with-a-year-abroad
MSci Geophysics,UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/msci-geophysics
MSci Geology with Geography with a Year Abroad,UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/msci-geology-with-geography-with-a-year-abroad
MSci Geology with Geography,UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/msci-geology-with-geography
MSci Environmental Sciences with a Year Abroad,UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/msci-environmental-sciences-with-a-year-abroad
MSci Environmental Sciences,UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/msci-environmental-sciences
MSci Developmental Psychology,UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/msci-developmental-psychology
MSci Cognitive Psychology,UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/msci-cognitive-psychology
MSci Biological Sciences,UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/msci-biological-sciences
MSci Biochemistry with a Year Abroad,UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/msci-biochemistry-with-a-year-abroad
MPhys Physics,UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/mphys-physics
MPharm Pharmacy with a Foundation Year,UNDERGRADUATE,PHARMACY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/mpharm-pharmacy-with-a-foundation-year
MPharm Pharmacy,UNDERGRADUATE,PHARMACY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/mpharm-pharmacy
MMath Masters of Mathematics with a Placement Year,UNDERGRADUATE,PHARMACY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/mmath-masters-of-mathematics-with-a-placement-year
MMath Master of Mathematics with a Year Abroad,UNDERGRADUATE,PHARMACY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/mmath-master-of-mathematics-with-a-year-abroad
MMath Master of Mathematics,UNDERGRADUATE,PHARMACY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/mmath-master-of-mathematics
MEng Mechanical Engineering with a Year in Industry,UNDERGRADUATE,PHARMACY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/meng-mechanical-engineering-with-a-year-in-industry
MEng Mechanical Engineering,UNDERGRADUATE,PHARMACY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/meng-mechanical-engineering
MEng Engineering with a Year in Industry,UNDERGRADUATE,PHARMACY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/meng-engineering-with-a-year-in-industry
MEng Engineering,UNDERGRADUATE,PHARMACY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/meng-engineering
MEng Energy Engineering,UNDERGRADUATE,PHARMACY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/meng-energy-engineering
MEng Electrical and Electronic Engineering with a Year in Industry,UNDERGRADUATE,PHARMACY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/meng-electrical-and-electronic-engineering-with-a-year-in-industry
MEng Electrical and Electronic Engineering,UNDERGRADUATE,PHARMACY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/meng-electrical-and-electronic-engineering
MComp Computing Science with Study Abroad,UNDERGRADUATE,COMPUTING SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/mcomp-computing-science-with-study-abroad
MComp Computing Science,UNDERGRADUATE,COMPUTING SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/mcomp-computing-science
MChem Medicinal Chemistry with a Year in Industry,UNDERGRADUATE,COMPUTING SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/mchem-medicinal-chemistry-with-a-year-in-industry
MChem Chemistry with a Year in Industry,UNDERGRADUATE,COMPUTING SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/mchem-chemistry-with-a-year-in-industry
MChem Chemistry with a Year Abroad,UNDERGRADUATE,COMPUTING SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/mchem-chemistry-with-a-year-abroad
MChem Chemistry,UNDERGRADUATE,COMPUTING SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/mchem-chemistry
MBBS Medicine with a Gateway Year,UNDERGRADUATE,COMPUTING SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/mbbs-medicine-with-a-gateway-year
LLB (Hons) Law with European Legal Systems,UNDERGRADUATE,COMPUTING SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/llb-law-with-european-legal-systems
LLB (Hons) Law with Criminology,UNDERGRADUATE,COMPUTING SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/llb-law-with-criminology
LLB (Hons) Law with American Law,UNDERGRADUATE,COMPUTING SCIENCES,SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/llb-law-with-american-law
BSc (Hons) Sports Development with a Year Abroad,UNDERGRADUATE,COMPUTING SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-sports-development-with-a-year-abroad
BSc (Hons) Sports Development,UNDERGRADUATE,COMPUTING SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-sports-development
BSc (Hons) Speech and Language Therapy,UNDERGRADUATE,HEALTH SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-speech-and-language-therapy
BSc (Hons) Social Psychology with a Year Abroad,UNDERGRADUATE,HEALTH SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-social-psychology-with-a-year-abroad
BSc (Hons) Social Psychology with a Placement Year,UNDERGRADUATE,HEALTH SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-social-psychology-with-a-placement-year
BSc (Hons) Social Psychology,UNDERGRADUATE,HEALTH SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-social-psychology
BSc (Hons) Psychology with a Year Abroad,UNDERGRADUATE,HEALTH SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-psychology-with-a-year-abroad
BSc (Hons) Psychology with a Placement Year,UNDERGRADUATE,HEALTH SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-psychology-with-a-placement-year
BSc (Hons) Psychology,UNDERGRADUATE,HEALTH SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-psychology
BSc (Hons) Politics and Economics with a Year Abroad,UNDERGRADUATE,HEALTH SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-politics-and-economics-with-a-year-abroad
BSc (Hons) Politics and Economics with a Placement Year,UNDERGRADUATE,HEALTH SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-politics-and-economics-with-a-placement-year
BSc (Hons) Politics and Economics,UNDERGRADUATE,HEALTH SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-politics-and-economics
