Course_Title,Study_Level,Start_Date,Course_Link
Accountancy and Financial Management (Top-up) BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-accountancy-and-financial-management-top-up
Accounting and Data Analytics MSc,MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-accounting-and-data-analytics
Accounting and Finance MSc,MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-accounting-and-finance
"Accounting PhD, MPhil and postgraduate research degrees",NA,NA,https://www.port.ac.uk/study/courses/postgraduate-research/pgr-accounting
Accounting with Finance BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-accounting-with-finance
Accounting with International Finance (Top-up) BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-accounting-with-international-finance-top-up
Adult Nursing MN,MN,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/mn-adult-nursing
Advanced Aesthetic and Restorative Dentistry (Top-up) MSc,MSc,March 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-advanced-aesthetic-and-restorative-dentistry-top-up
Advanced Clinical Practice MSc,MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-advanced-clinical-practice
Advanced Dental Nursing Professional Practice top-up BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-advanced-dental-nursing-professional-practice-top-up
Advanced Digital Dentistry (Top Up) MSc,MSc,March 2025,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-advanced-digital-dentistry-top-up
Advanced Manufacturing MSc,MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-advanced-manufacturing
Advanced Restorative Dental Therapy (Top-up) MSc,MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-advanced-restorative-dental-therapy-top-up
Animation BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-animation
Applied Aquatic Biology MSc,MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-applied-aquatic-biology
Applied Biomedical Science Degree Apprenticeship BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-applied-biomedical-science-degree-apprenticeship
Applied Computing (Learning at Work) BSc (Hons),BSc (Hons),January 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-applied-computing-learning-at-work
Applied Computing (Learning at Work) MSc,MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-applied-computing-learning-at-work
Applied Languages BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-applied-languages
Applied Linguistics and TESOL MA,MA,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/ma-applied-linguistics-and-tesol
Applied Linguistics and TESOL (with Professional Experience) MA,MA,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/ma-applied-linguistics-and-tesol-with-professional-experience
Applied Science (Learning at Work) BSc (Hons),BSc (Hons),January 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-applied-science-learning-at-work
Applied Science (Learning at Work) MSc,MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-applied-science-learning-at-work
Architect Degree Apprenticeship (Master of Architecture and Professional Practice) MArch,MArch,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/march-architect-degree-apprenticeship
