Course_Title,Degree_Type,Duration,Course_Link
Accounting and Finance,BSc,3 years,https://www.southampton.ac.uk/courses/accounting-finance-degree-bsc
Accounting and Finance with Placement Year,BSc,4 years,https://www.southampton.ac.uk/courses/accounting-finance-with-placement-year-degree-bsc
Accounting and Finance with Study Abroad Year,BSc,4 years,https://www.southampton.ac.uk/courses/accounting-finance-with-study-abroad-year-degree-bsc
Acoustical Engineering,BEng,3 years,https://www.southampton.ac.uk/courses/acoustical-engineering-degree-beng
Acoustical Engineering,MEng,4 years,https://www.southampton.ac.uk/courses/acoustical-engineering-degree-meng
Acoustics with Music,BSc,3 years,https://www.southampton.ac.uk/courses/acoustics-with-music-degree-bsc
Aeronautics and Astronautics,BEng,3 years,https://www.southampton.ac.uk/courses/aeronautics-astronautics-degree-beng
Aeronautics and Astronautics,MEng,4 years,https://www.southampton.ac.uk/courses/aeronautics-astronautics-degree-meng
Aeronautics and Astronautics / Aerodynamics,MEng,4 years,https://www.southampton.ac.uk/courses/aeronautics-astronautics-aerodynamics-degree-meng
Aeronautics and Astronautics / Airvehicle Systems Design,MEng,4 years,https://www.southampton.ac.uk/courses/aeronautics-astronautics-airvehicle-systems-design-degree-meng
Aeronautics and Astronautics / Computational Engineering and Design,MEng,4 years,https://www.southampton.ac.uk/courses/aeronautics-astronautics-computational-engineering-design-degree-meng
Aeronautics and Astronautics / Engineering Management,MEng,4 years,https://www.southampton.ac.uk/courses/aeronautics-astronautics-engineering-management-degree-meng
Aeronautics and Astronautics / Materials and Structures,MEng,4 years,https://www.southampton.ac.uk/courses/aeronautics-astronautics-materials-structures-degree-meng
Aeronautics and Astronautics / Semester Abroad,MEng,4 years,https://www.southampton.ac.uk/courses/aeronautics-astronautics-semester-abroad-degree-meng
Aeronautics and Astronautics / Spacecraft Engineering,MEng,4 years,https://www.southampton.ac.uk/courses/aeronautics-astronautics-spacecraft-engineering-degree-meng
Aerospace Electronic Engineering,MEng,4 years,https://www.southampton.ac.uk/courses/aerospace-electronic-engineering-degree-meng
Aerospace Electronic Engineering,BEng,3 years,https://www.southampton.ac.uk/courses/aerospace-electronic-engineering-degree-beng
Ancient History,BA,3 years,https://www.southampton.ac.uk/courses/ancient-history-degree-ba
Ancient History and Archaeology,BA,3 years,https://www.southampton.ac.uk/courses/ancient-history-archaeology-degree-ba
Ancient History and Archaeology with Year Abroad,BA,4 years,https://www.southampton.ac.uk/courses/ancient-history-archaeology-with-year-abroad-degree-ba
Ancient History and History,BA,3 years,https://www.southampton.ac.uk/courses/ancient-history-history-degree-ba
Ancient History and History with Year Abroad,BA,4 years,https://www.southampton.ac.uk/courses/ancient-history-history-with-year-abroad-degree-ba
Ancient History with Year Abroad,BA,4 years,https://www.southampton.ac.uk/courses/ancient-history-with-year-abroad-degree-ba
Archaeology,BA,3 years,https://www.southampton.ac.uk/courses/archaeology-degree-ba
Archaeology and Anthropology,BA,3 years,https://www.southampton.ac.uk/courses/archaeology-anthropology-degree-ba
Archaeology and Anthropology with Year Abroad,BA,4 years,https://www.southampton.ac.uk/courses/archaeology-anthropology-with-year-abroad-degree-ba
Archaeology with Year Abroad,BA,4 years,https://www.southampton.ac.uk/courses/archaeology-with-year-abroad-degree-ba
Artificial Intelligence,MEng,4 years,https://www.southampton.ac.uk/courses/artificial-intelligence-degree-meng
Artificial Intelligence,BEng,3 years,https://www.southampton.ac.uk/courses/artificial-intelligence-degree-beng
Artificial Intelligence with Industrial Studies,MEng,3 years,https://www.southampton.ac.uk/courses/artificial-intelligence-with-industrial-studies-degree-meng
Astrophysics with Year Abroad,MPhys,4 years,https://www.southampton.ac.uk/courses/astrophysics-with-year-abroad-degree-mphys
Audiology,BSc,3 years,https://www.southampton.ac.uk/courses/audiology-degree-bsc
Audiology,MSci,4 years,https://www.southampton.ac.uk/courses/audiology-degree-msci
Biochemistry,BSc,3 years,https://www.southampton.ac.uk/courses/biochemistry-degree-bsc
Biochemistry,MSci,4 years,https://www.southampton.ac.uk/courses/biochemistry-degree-msci
Biology,BSc,3 years,https://www.southampton.ac.uk/courses/biology-degree-bsc
Biology,MSci,4 years,https://www.southampton.ac.uk/courses/biology-degree-msci
Biology and Marine Biology,MSci,4 years,https://www.southampton.ac.uk/courses/biology-marine-biology-degree-msci
Biology and Marine Biology,BSc,3 years,https://www.southampton.ac.uk/courses/biology-marine-biology-degree-bsc
Biomedical Engineering,MEng,4 years,https://www.southampton.ac.uk/courses/biomedical-engineering-degree-meng
Biomedical Engineering,BEng,3 years,https://www.southampton.ac.uk/courses/biomedical-engineering-degree-beng
Biomedical Engineering with Industrial Studies,MEng,5 years,https://www.southampton.ac.uk/courses/biomedical-engineering-with-industrial-studies-degree-meng
Biomedical Sciences,MSci,4 years,https://www.southampton.ac.uk/courses/biomedical-sciences-degree-msci
Biomedical Sciences,BSc,3 years,https://www.southampton.ac.uk/courses/biomedical-sciences-degree-bsc
Business Analytics,BSc,3 years,https://www.southampton.ac.uk/courses/business-analytics-degree-bsc
Business Analytics with Placement Year,BSc,4 years,https://www.southampton.ac.uk/courses/business-analytics-with-placement-year-degree-bsc
Business Analytics with Study Abroad Year,BSc,4 years,https://www.southampton.ac.uk/courses/business-analytics-with-study-abroad-year-degree-bsc
Business Entrepreneurship,BSc,3 years,https://www.southampton.ac.uk/courses/business-entrepreneurship-degree-bsc
Business Entrepreneurship with Placement Year,BSc,4 years,https://www.southampton.ac.uk/courses/business-entrepreneurship-with-placement-year-degree-bsc
Business Entrepreneurship with Study Abroad Year,BSc,4 years,https://www.southampton.ac.uk/courses/business-entrepreneurship-with-study-abroad-year-degree-bsc
Business Management,BSc,3 years,https://www.southampton.ac.uk/courses/business-management-degree-bsc
Business Management with Placement Year,BSc,4 years,https://www.southampton.ac.uk/courses/business-management-with-placement-year-degree-bsc
